BeverageId	name	info	imagePath	hasCool	hasHot	remark	Category_id	Shop_id
H15	珍珠奶茶	珍珠奶茶好喝推推	清心福全/珍珠奶茶.png	TRUE	TRUE		CM	H
H16	粉圓奶茶	粉圓奶茶人間極品	清心福全/粉圓奶茶.png	TRUE	TRUE		CM	H
H17	仙草凍奶茶	仙草凍奶茶好喝推推	清心福全/仙草凍奶茶.png	TRUE	TRUE		CM	H
H18	布丁奶茶	布丁奶茶人間極品	清心福全/布丁奶茶.png	TRUE	TRUE		CM	H
H19	椰果奶茶	椰果奶茶好喝推推	清心福全/椰果奶茶.png	TRUE	TRUE		CM	H
H20	蜂蜜奶茶	蜂蜜奶茶人間極品	清心福全/蜂蜜奶茶.png	TRUE	TRUE		CM	H
H21	冬瓜茶	冬瓜茶好喝推推	清心福全/冬瓜茶.png	TRUE	TRUE		CE	H
H22	冬瓜青茶	冬瓜青茶人間極品	清心福全/冬瓜青茶.png	TRUE	TRUE		CE	H
H23	冬瓜檸檬	冬瓜檸檬好喝推推	清心福全/冬瓜檸檬.png	TRUE	TRUE		CE	H
H24	梅子綠茶	梅子綠茶人間極品	清心福全/梅子綠茶.png	TRUE	TRUE		CG	H
H25	紅茶豆漿	紅茶豆漿好喝推推	清心福全/紅茶豆漿.png	TRUE	TRUE		CB	H
H26	情人茶	情人茶人間極品	清心福全/情人茶.png	TRUE	TRUE		CX	H
H27	蜜茶	蜜茶好喝推推	清心福全/蜜茶.png	TRUE	TRUE		CX	H
H28	蜂蜜烏龍/綠茶	蜂蜜烏龍/綠茶人間極品	清心福全/蜂蜜烏龍/綠茶.png	TRUE	TRUE		CG	H
H29	清心巧克力	清心巧克力好喝推推	清心福全/清心巧克力.png	TRUE	TRUE		CX	H
H30	濃情巧克力	濃情巧克力人間極品	清心福全/濃情巧克力.png	TRUE	TRUE		CX	H
H31	咖啡奶茶	咖啡奶茶好喝推推	清心福全/咖啡奶茶.png	TRUE	TRUE		CM	H
H32	綠豆沙奶茶	綠豆沙奶茶人間極品	清心福全/綠豆沙奶茶.png	TRUE	TRUE		CM	H
H33	芋香奶茶	芋香奶茶好喝推推	清心福全/芋香奶茶.png	TRUE	TRUE		CM	H
H34	檸檬汁	檸檬汁人間極品	清心福全/檸檬汁.png	TRUE	TRUE		CF	H
H35	輕檸四季	輕檸四季好喝推推	清心福全/輕檸四季.png	TRUE	TRUE		CX	H
H36	檸檬綠茶/紅茶	檸檬綠茶/紅茶人間極品	清心福全/檸檬綠茶/紅茶.png	TRUE	TRUE		CB	H
H37	蜂蜜檸檬	蜂蜜檸檬好喝推推	清心福全/蜂蜜檸檬.png	TRUE	TRUE		CF	H
H38	金桔檸檬	金桔檸檬人間極品	清心福全/金桔檸檬.png	TRUE	TRUE		CF	H
H39	桔茶	桔茶好喝推推	清心福全/桔茶.png	TRUE	TRUE		CX	H
