BeverageId,name,info,imagePath,hasCold,hasHot,remark,Category,Shop
F20,珍珠紅茶,珍珠紅茶好喝推推,TeaTop/珍珠紅茶.jpg,t,t, ,CB,F
F21,珍珠綠茶,珍珠綠茶人間極品,TeaTop/珍珠綠茶.jpg,t,t, ,CG,F
F22,珍珠奶茶,珍珠奶茶好喝推推,TeaTop/珍珠奶茶.jpg,t,t, ,CM,F
F23,珍珠靚茶,珍珠靚茶人間極品,TeaTop/珍珠靚茶.jpg,t,t, ,CX,F
F24,金萱QQ,金萱QQ好喝推推,TeaTop/金萱QQ.jpg,t,t, ,CX,F
F25,冬瓜仙草,冬瓜仙草人間極品,TeaTop/冬瓜仙草.jpg,t,f, ,CE,F
F26,靚奶凍,靚奶凍好喝推推,TeaTop/靚奶凍.jpg,t,t, ,CM,F
F27,布丁奶茶,布丁奶茶人間極品,TeaTop/布丁奶茶.jpg,t,t, ,CM,F
F28,日式相思Q奶,日式相思Q奶好喝推推,TeaTop/日式相思Q奶.jpg,t,t, ,CM,F
F29,仙草奶凍,仙草奶凍人間極品,TeaTop/仙草奶凍.jpg,t,t, ,CM,F
F30,紅茶拿鐵,紅茶拿鐵好喝推推,TeaTop/紅茶拿鐵.jpg,t,t, ,CM,F
F31,珍珠拿鐵,珍珠拿鐵人間極品,TeaTop/珍珠拿鐵.jpg,t,t, ,CM,F
F32,黑糖拿鐵,黑糖拿鐵好喝推推,TeaTop/黑糖拿鐵.jpg,t,t, ,CM,F
F33,奶蓋鐵觀音,奶蓋鐵觀音人間極品,TeaTop/奶蓋鐵觀音.jpg,t,t, ,CM,F
F34,奶蓋青茶,奶蓋青茶好喝推推,TeaTop/奶蓋青茶.jpg,t,t, ,CM,F
F35,抹茶拿鐵,抹茶拿鐵人間極品,TeaTop/抹茶拿鐵.jpg,t,t, ,CM,F
F36,珍珠抹茶拿鐵,珍珠抹茶拿鐵好喝推推,TeaTop/珍珠抹茶拿鐵.jpg,t,t, ,CM,F
F37,紅豆抹茶拿鐵,紅豆抹茶拿鐵人間極品,TeaTop/紅豆抹茶拿鐵.jpg,t,t, ,CM,F
F38,芋頭鮮奶,芋頭鮮奶好喝推推,TeaTop/芋頭鮮奶.jpg,t,t, ,CM,F
F39,紅豆鮮奶,紅豆鮮奶人間極品,TeaTop/紅豆鮮奶.jpg,t,t, ,CM,F
F40,可可亞鮮奶,可可亞鮮奶好喝推推,TeaTop/可可亞鮮奶.jpg,t,t, ,CM,F
F41,靚奶茶,靚奶茶人間極品,TeaTop/靚奶茶.jpg,t,t, ,CM,F
F42,大吉嶺奶茶,大吉嶺奶茶好喝推推,TeaTop/大吉嶺奶茶.jpg,t,t, ,CM,F
F43,鐵觀音奶茶,鐵觀音奶茶人間極品,TeaTop/鐵觀音奶茶.jpg,t,t, ,CM,F
F44,抹茶奶綠,抹茶奶綠好喝推推,TeaTop/抹茶奶綠.jpg,t,t, ,CG,F
F45,綠豆星沙,綠豆星沙人間極品,TeaTop/綠豆星沙.jpg,t,f, ,CG,F
F46,綠豆星沙牛奶,綠豆星沙牛奶好喝推推,TeaTop/綠豆星沙牛奶.jpg,t,f, ,CG,F
F47,抹茶冰沙,抹茶冰沙人間極品,TeaTop/抹茶冰沙.jpg,t,f, ,CG,F
F48,鳳梨冰沙,鳳梨冰沙好喝推推,TeaTop/鳳梨冰沙.jpg,t,f, ,CX,F
F49,百香冰沙,百香冰沙人間極品,TeaTop/百香冰沙.jpg,t,f, ,CX,F
